,股票代码,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,市值,股息率,日期
441,600482,中国动力,14.8,0.68,59.96,52.16,0.88,3.58,1.15,8.47,通用设备,3197809.5302,0.5135,2022-05-17
442,600483,福能股份,11.8,-2.24,16.94,18.18,1.27,-,1.96,13.89,电力行业,2306365.0966,2.1879,2022-05-17
443,600487,亨通光电,10.41,1.07,16.22,17.12,1.18,0.48,0.56,12.94,通信设备,2459061.1159,0.5692,2022-05-17
444,600489,中金黄金,7.08,0.43,20.07,20.21,1.36,2.44,0.59,7.19,贵金属,3431897.2953,2.2655,2022-05-17
449,600498,烽火通信,13.29,0.45,54.25,54.82,1.43,0.11,0.59,-53.29,通信设备,1578623.2512,0.5734,2022-05-17
450,600500,中化国际,6.39,0.95,7.79,8.12,1.48,0.02,0.22,5.99,化学制品,1766941.3756,0.6261,2022-05-17
451,600502,安徽建工,6.67,-7.36,10.28,10.48,1.37,0.30,0.16,-1.73,工程建设,1148013.9014,2.9985,2022-05-17
453,600508,上海能源,17.65,6.2,13.26,34.17,1.13,-,1.13,10.54,煤炭行业,1275597.27,1.5751,2022-05-17
457,600528,中铁工业,8.11,-0.86,9.64,9.71,0.88,5.92,0.66,13.73,交运设备,1801678.3379,1.7386,2022-05-17
460,600535,天士力,10.46,-3.06,10.67,6.69,1.27,0.06,1.96,6.36,中药,1577283.8284,3.1428,2022-05-17
461,600548,深高速,9.0,-1.1,7.93,7.53,0.99,0.38,1.84,5.03,铁路公路,1962693.2934,4.7778,2022-05-17
465,600567,山鹰国际,2.78,-0.71,10.33,8.47,0.79,1.19,0.38,5.19,造纸印刷,1283296.8741,1.3934,2022-05-17
468,600582,天地科技,4.69,-1.26,10.84,11.98,1.0,0.59,0.8,4.77,专用设备,1940998.1903,3.1983,2022-05-17
469,600583,海油工程,4.22,1.2,50.69,50.45,0.82,63.81,0.89,5.79,采掘行业,1865811.7256,1.6588,2022-05-17
470,600585,海螺水泥,37.98,-0.37,6.22,6.05,1.07,-,1.27,6.33,水泥建材,20126751.195,5.5819,2022-05-17
476,600606,绿地控股,4.25,-3.19,11.33,8.79,0.59,-,0.11,1.02,房地产开发,5430038.8942,5.6022,2022-05-17
481,600623,华谊集团,7.46,-0.27,5.25,5.36,0.72,0.01,0.39,2.47,化学原料,1590061.4001,0.8038,2022-05-17
484,600637,东方明珠,7.07,-1.12,13.73,12.98,0.8,0.66,2.76,15.9,文化传媒,2414051.6421,3.7601,2022-05-17
486,600639,浦东金桥,14.69,-3.61,6.86,10.16,1.28,0.09,2.44,36.53,房地产开发,1648824.5398,2.0422,2022-05-17
487,600642,申能股份,5.46,-0.55,27.6,16.33,0.87,-,1.0,12.58,电力行业,2681972.9205,5.079,2022-05-17
489,600648,外高桥,14.51,-1.76,11.63,17.58,1.32,0.35,1.54,3.23,房地产开发,1647391.5789,1.3784,2022-05-17
490,600649,城投控股,4.65,-3.53,9.65,12.9,0.56,0.71,1.28,-1.25,房地产开发,1176252.6698,1.9785,2022-05-17
491,600655,豫园股份,9.9,0.0,10.65,9.98,1.12,1.52,0.74,-5.04,珠宝首饰,3851479.1443,3.3239,2022-05-17
496,600675,中华企业,3.4,-5.29,33.08,25.74,1.34,-,2.19,5.83,房地产开发,2072685.9857,4.0255,2022-05-17
497,600682,南京新百,9.07,-1.41,11.91,11.19,0.7,0.25,2.0,6.12,商业百货,1220941.9244,0.2205,2022-05-17
499,600685,中船防务,14.79,-0.4,237.53,263.34,1.46,-,1.9,2.88,船舶制造,2090575.9331,1.1224,2022-05-17
500,600688,上海石化,3.2,1.59,33.29,17.31,1.13,0.25,0.36,13.34,石油行业,3463620.32,3.125,2022-05-17
504,600704,物产中大,5.02,-0.2,6.37,6.55,0.88,0.12,0.05,-12.13,物流行业,2608408.0841,3.8814,2022-05-17
505,600705,中航产融,3.29,0.3,7.69,6.56,0.8,0.17,1.56,-27.81,多元金融,2934671.6523,3.3702,2022-05-17
511,600717,天津港,4.03,-1.47,12.88,11.99,0.67,0.23,0.86,4.6,航运港口,1166282.4183,1.7783,2022-05-17
513,600720,祁连山,15.2,6.67,13.06,12.45,1.43,-,1.51,6.88,水泥建材,1179961.2286,4.4737,2022-05-17
517,600739,辽宁成大,13.34,-0.74,10.73,9.45,0.72,-,1.14,27.96,贸易行业,2040632.8945,1.6492,2022-05-17
518,600740,山西焦化,5.41,-0.73,10.27,11.0,1.09,1.11,1.16,19.83,煤炭行业,1386107.5443,2.8437,2022-05-17
519,600741,华域汽车,20.62,1.53,9.44,10.05,1.28,0.52,0.46,7.33,汽车零部件,6500916.855,3.6372,2022-05-17
523,600755,厦门国贸,7.96,-1.49,4.84,4.94,0.86,0.16,0.03,-5.21,贸易行业,1685662.1814,5.3272,2022-05-17
529,600782,新钢股份,5.74,0.17,4.16,4.21,0.66,0.07,0.17,5.34,钢铁行业,1830326.8275,5.1269,2022-05-17
530,600787,中储股份,5.74,0.35,10.93,14.27,0.97,0.21,0.16,4.78,物流行业,1257241.582,1.3763,2022-05-17
534,600808,马钢股份,3.89,-0.26,5.96,5.67,0.89,0.05,0.26,1.87,钢铁行业,3024759.4314,3.3004,2022-05-17
537,600820,隧道股份,5.82,-3.8,7.75,7.65,0.73,1.38,0.29,2.66,工程建设,1829863.9267,3.7801,2022-05-17
538,600823,世茂股份,3.04,-2.88,13.88,11.87,0.44,-,0.62,-0.86,房地产开发,1140355.1513,5.5921,2022-05-17
541,600827,百联股份,11.42,-5.62,32.07,27.08,1.15,-,0.59,5.58,商业百货,2037519.9896,1.3135,2022-05-17
546,600835,上海机电,11.88,1.28,16.77,14.98,0.97,-,0.51,12.42,专用设备,1215014.2979,3.2828,2022-05-17
547,600837,海通证券,8.91,0.22,10.87,9.08,0.71,0.67,3.22,2.68,证券,11640202.2,2.8058,2022-05-17
548,600839,四川长虹,2.69,-1.1,39.51,43.63,0.93,0.09,0.13,4.14,家电行业,1241769.6957,0.3717,2022-05-17
549,600841,动力新科,6.62,-2.65,18.58,15.59,1.1,0.03,0.52,-4.24,汽车零部件,1080076.6546,0.5085,2022-05-17
553,600859,王府井,22.53,-2.09,18.21,19.04,1.29,0.04,2.02,11.72,商业百货,2552291.7891,0.4562,2022-05-17
555,600875,东方电气,13.01,0.93,15.71,17.73,1.21,0.71,0.79,-9.43,电源设备,4057820.4701,1.3839,2022-05-17
559,600901,江苏租赁,5.15,0.59,7.22,7.42,1.04,0.68,3.87,-8.29,多元金融,1538124.7335,5.8252,2022-05-17
560,600908,无锡银行,5.67,0.18,6.35,6.68,0.77,0.30,2.37,1.31,银行,1055570.9293,3.1746,2022-05-17
561,600909,华安证券,4.2,0.0,14.58,13.85,1.03,1.03,5.82,-247.9,证券,1973017.4923,2.2023,2022-05-17
562,600918,中泰证券,7.11,-0.28,17.99,15.48,1.39,0.58,3.95,5.53,证券,4954692.9125,1.5331,2022-05-17
563,600919,江苏银行,7.15,0.85,5.02,5.36,0.68,0.16,1.61,0.76,银行,10560288.0533,4.4196,2022-05-17
564,600926,杭州银行,14.1,0.0,8.32,9.03,1.12,0.26,2.74,-1.12,银行,8361673.7205,2.4822,2022-05-17
565,600928,西安银行,3.67,-0.54,6.03,5.82,0.58,3.47,2.38,1.03,银行,1631111.1113,5.1771,2022-05-17
569,600958,东方证券,8.93,1.02,17.15,14.13,1.26,0.13,3.4,-2.66,证券,7844241.7208,2.2363,2022-05-17
570,600959,江苏有线,3.26,-2.69,48.78,51.74,0.74,0.16,2.17,7.48,文化传媒,1630233.9656,0.9202,2022-05-17
573,600967,内蒙一机,8.91,0.45,19.57,20.34,1.43,1.34,1.03,-7.35,交运设备,1518488.3689,0.9315,2022-05-17
574,600968,海油发展,2.49,1.63,18.54,19.72,1.23,-,0.63,5.93,采掘行业,2531110.9456,1.8072,2022-05-17
576,600970,中材国际,8.21,-0.48,10.15,10.28,1.38,0.11,0.5,12.4,工程建设,1860083.9245,2.1486,2022-05-17
581,600985,淮北矿业,14.46,1.69,6.88,7.5,1.22,0.17,0.51,3.02,煤炭行业,3587577.9476,4.1426,2022-05-17
583,600997,开滦股份,7.21,1.12,6.37,6.31,0.81,0.10,0.52,2.31,煤炭行业,1144803.6926,3.8835,2022-05-17
584,600998,九州通,12.39,0.41,10.85,9.48,1.07,-,0.19,7.18,医药商业,2321724.2374,3.9383,2022-05-17
585,600999,招商证券,12.9,0.23,10.66,9.63,1.14,0.43,4.13,92.24,证券,11218519.5797,3.3876,2022-05-17
586,601000,唐山港,2.57,-3.38,7.57,7.29,0.8,0.61,2.76,7.3,航运港口,1522963.6538,13.6187,2022-05-17
588,601003,柳钢股份,4.17,-0.95,38.09,7.34,0.89,-,0.11,3.23,钢铁行业,1068684.7644,5.9952,2022-05-17
590,601006,大秦铁路,6.53,-0.31,8.42,7.97,0.78,0.73,1.25,6.17,物流行业,9708097.8465,7.3506,2022-05-17
592,601009,南京银行,11.68,5.42,6.97,7.38,1.02,0.32,2.72,1.91,银行,11698015.8067,3.3619,2022-05-17
595,601015,陕西黑猫,5.12,-0.19,8.41,6.85,1.2,0.02,0.53,40.58,煤炭行业,1045758.7912,0.7792,2022-05-17
596,601018,宁波港,3.95,-1.0,14.37,14.41,1.12,0.48,2.57,6.13,航运港口,6243929.8612,2.0759,2022-05-17
597,601019,山东出版,6.28,-1.26,8.31,8.55,1.04,1.02,1.18,5.42,文化传媒,1310573.2,5.0955,2022-05-17
598,601077,渝农商行,3.86,-0.26,4.41,4.59,0.42,0.31,1.42,0.56,银行,4383802.0,5.7513,2022-05-17
599,601098,中南传媒,9.81,-1.6,11.57,11.63,1.2,2.01,1.51,20.36,文化传媒,1761876.0,6.422,2022-05-17
601,601107,四川成渝,4.03,-0.98,6.82,6.6,0.7,0.03,1.27,6.62,铁路公路,1232398.18,1.9851,2022-05-17
602,601108,财通证券,7.09,0.0,14.46,12.83,1.32,1.12,5.75,15.05,证券,3292404.6267,2.1802,2022-05-17
603,601117,中国化学,9.38,-0.95,11.95,12.37,1.16,0.37,0.39,-23.05,工程建设,5730683.4115,1.9196,2022-05-17
604,601128,常熟银行,7.62,-0.91,9.03,9.55,1.01,0.40,2.61,-12.71,银行,2088532.2149,2.6247,2022-05-17
605,601155,新城控股,24.85,-0.64,4.48,4.46,0.94,-,0.33,1.95,房地产开发,5625011.5554,8.237,2022-05-17
606,601162,天风证券,2.96,0.0,62.09,43.75,1.03,1.42,6.26,14.37,证券,2565064.2093,0.1689,2022-05-17
608,601166,兴业银行,19.59,1.29,4.71,4.92,0.65,0.19,1.81,-1.19,银行,40696639.6812,4.0939,2022-05-17
609,601169,北京银行,4.44,-0.22,4.14,4.22,0.42,1.25,1.41,-1.49,银行,9387485.0168,6.7568,2022-05-17
610,601179,中国西电,4.14,0.0,36.2,39.0,1.03,0.20,1.4,7.77,电网设备,2122115.2937,0.7246,2022-05-17
611,601186,中国铁建,8.24,-0.6,4.42,4.53,0.53,0.44,0.11,64.55,工程建设,11189542.196,2.7913,2022-05-17
612,601187,厦门银行,5.81,-0.34,6.79,7.07,0.74,0.34,2.77,2.01,银行,1533333.3029,3.0981,2022-05-17
614,601198,东兴证券,8.0,0.63,18.06,15.65,0.97,2.16,4.98,1.45,证券,2585956.416,1.8131,2022-05-17
615,601200,上海环境,9.7,0.0,17.18,15.85,1.09,1.83,1.5,14.89,环保行业,1088202.7867,0.8763,2022-05-17
616,601211,国泰君安,14.2,0.28,9.64,8.42,0.92,0.25,3.16,3.01,证券,12647473.7927,3.9393,2022-05-17
617,601212,白银有色,2.68,0.37,165.84,242.78,1.31,12.32,0.25,27.28,有色金属,1984479.5689,0.1119,2022-05-17
619,601222,林洋能源,7.3,1.96,16.05,16.16,1.02,-,2.82,12.29,仪器仪表,1503923.4839,1.1988,2022-05-17
621,601228,广州港,3.41,-0.87,17.74,18.6,1.41,0.49,1.75,11.56,航运港口,2111874.38,1.261,2022-05-17
622,601229,上海银行,6.42,0.0,4.08,4.14,0.48,0.75,1.61,2.68,银行,9120668.5572,6.2305,2022-05-17
623,601233,桐昆股份,15.38,0.65,5.21,5.06,1.0,0.03,0.61,13.32,化纤行业,3708301.7802,0.8019,2022-05-17
624,601238,广汽集团,13.55,3.2,17.77,19.33,1.46,0.66,1.71,-40.04,汽车整车,14178662.6252,1.4536,2022-05-17
626,601288,农业银行,3.02,-0.66,4.3,4.38,0.5,0.36,1.45,4.72,银行,105694876.2296,6.1291,2022-05-17
627,601298,青岛港,5.63,0.0,9.1,9.22,1.01,2.87,2.17,10.05,航运港口,3654489.3,4.6572,2022-05-17
628,601311,骆驼股份,8.77,0.8,14.77,12.37,1.19,1.16,0.84,12.7,电池,1028849.1455,2.1723,2022-05-17
629,601318,中国平安,43.82,1.06,8.43,7.88,0.96,-,0.7,2.95,保险,80104017.8586,5.1589,2022-05-17
630,601319,中国人保,4.64,-0.22,10.08,9.48,0.96,1.32,0.33,2.81,保险,20519931.6305,2.9525,2022-05-17
631,601326,秦港股份,2.77,-1.07,14.78,14.9,0.94,3.28,2.35,6.25,航运港口,1547713.124,2.3105,2022-05-17
632,601328,交通银行,4.94,-0.6,4.12,4.19,0.45,0.36,1.34,2.46,银行,36685786.9626,6.417,2022-05-17
633,601336,新华保险,28.05,0.25,8.76,5.85,0.86,1.94,0.41,1.04,保险,8750328.213,4.9554,2022-05-17
637,601375,中原证券,3.85,-0.26,43.53,34.83,1.31,0.11,4.79,-8.45,证券,1787510.6095,0.8831,2022-05-17
638,601377,兴业证券,6.16,0.49,11.14,8.7,1.0,0.57,2.72,4.77,证券,4125149.7512,2.9221,2022-05-17
639,601390,中国中铁,6.81,-1.45,5.87,6.1,0.71,0.61,0.15,-25.94,工程建设,16849066.1581,2.6212,2022-05-17
640,601398,工商银行,4.66,-0.43,4.7,4.77,0.56,0.45,1.73,1.74,银行,166085315.8035,5.7082,2022-05-17
642,601512,中新集团,9.18,-1.08,9.41,9.04,1.08,0.55,3.43,3624.62,房地产开发,1375981.02,2.854,2022-05-17
646,601555,东吴证券,6.39,0.79,15.37,13.38,0.86,0.34,3.62,1.2,证券,3199794.194,1.8835,2022-05-17
648,601567,三星医疗,9.06,0.22,18.64,18.5,1.41,-,1.68,125.58,电网设备,1276241.025,3.8026,2022-05-17
649,601577,长沙银行,7.53,0.53,4.65,4.8,0.6,0.25,1.41,3.11,银行,3028229.9768,4.2497,2022-05-17
650,601598,中国外运,3.86,-0.26,7.4,7.69,0.84,0.21,0.23,5.85,物流行业,2856710.2958,3.1088,2022-05-17
652,601601,中国太保,21.12,1.98,8.56,7.57,0.92,0.96,0.47,1.63,保险,20318161.153,5.6532,2022-05-17
653,601607,上海医药,18.99,-5.0,16.61,13.78,1.09,1.32,0.32,19.12,医药商业,7017768.2659,1.7507,2022-05-17
654,601609,金田铜业,7.07,0.28,13.53,14.12,1.42,0.28,0.12,-7.99,有色金属,1046700.5831,1.4993,2022-05-17
656,601618,中国中冶,3.44,-1.15,7.99,8.51,0.83,1.37,0.14,4.43,工程建设,7128924.9945,2.1802,2022-05-17
657,601658,邮储银行,5.26,0.19,6.08,6.38,0.74,0.32,1.49,3.47,银行,48593966.9602,3.9639,2022-05-17
658,601665,齐鲁银行,5.05,-0.2,7.26,7.62,0.84,0.32,2.19,0.72,银行,2313320.8337,3.5644,2022-05-17
659,601668,中国建筑,5.88,-1.67,4.62,4.8,0.71,0.32,0.13,-3.96,工程建设,24661225.0003,3.652,2022-05-17
660,601669,中国电建,7.08,-1.26,12.36,12.55,1.15,1.50,0.24,5.78,工程建设,10831716.797,1.2954,2022-05-17
661,601678,滨化股份,5.66,0.0,7.76,7.16,1.07,0.04,1.24,7.52,化学原料,1164848.5322,1.6221,2022-05-17
662,601688,华泰证券,13.08,0.23,9.69,8.9,0.84,0.41,3.27,-3.32,证券,11872258.2,3.0393,2022-05-17
663,601699,潞安环能,14.14,1.65,5.58,6.31,1.12,0.02,0.83,4.34,煤炭行业,4229852.6088,1.372,2022-05-17
664,601717,郑煤机,12.19,-0.33,10.46,11.14,1.38,0.15,0.73,7.1,汽车零部件,2169202.7837,1.7166,2022-05-17
666,601766,中国中车,4.97,-0.4,15.54,13.84,0.96,-,0.66,5.82,交运设备,14263335.4517,3.6217,2022-05-17
667,601778,晶科科技,4.78,1.27,33.57,38.32,1.17,-,3.91,10.45,电力行业,1383491.988,0.344,2022-05-17
668,601788,光大证券,11.3,0.18,15.09,14.95,0.97,0.20,3.35,6.47,证券,5210190.0321,1.3982,2022-05-17
669,601800,中国交建,10.13,-2.41,8.73,9.1,0.71,0.93,0.23,-13.54,工程建设,16375865.6735,1.7856,2022-05-17
671,601811,新华文轩,8.82,-0.68,8.25,8.33,0.94,2.24,1.02,5.37,文化传媒,1088247.762,3.5147,2022-05-17
672,601816,京沪高铁,4.53,0.0,47.19,46.19,1.19,1.14,7.61,14.95,物流行业,22245237.5288,0.7263,2022-05-17
673,601818,光大银行,3.13,0.32,3.88,3.9,0.44,0.26,1.11,-0.66,银行,16911991.2758,6.7093,2022-05-17
674,601825,沪农商行,6.34,0.0,5.88,6.31,0.63,0.31,2.48,1.36,银行,6114577.7781,4.1009,2022-05-17
675,601827,三峰环境,6.99,-0.57,11.66,9.47,1.29,0.16,2.02,6.65,环保行业,1173109.332,2.1459,2022-05-17
677,601838,成都银行,16.05,-0.19,6.98,7.4,1.21,0.21,3.11,-22.24,银行,5797663.3911,2.866,2022-05-17
678,601857,中国石油,5.23,1.16,9.25,10.39,0.73,0.02,0.34,2.24,石油行业,95719971.3988,4.1648,2022-05-17
680,601860,紫金银行,2.85,-0.35,6.73,6.89,0.66,1.28,2.3,-1.87,银行,1043372.9063,3.5087,2022-05-17
681,601866,中远海发,3.0,-0.99,6.14,6.69,1.4,0.02,1.09,2.24,航运港口,4075943.1903,1.494,2022-05-17
683,601878,浙商证券,9.14,0.0,16.89,16.14,1.47,0.48,2.18,131.43,证券,3544646.2786,1.4223,2022-05-17
684,601880,辽港股份,1.7,0.0,22.58,21.28,1.06,0.05,3.31,10.58,航运港口,4077801.1887,1.6369,2022-05-17
685,601881,中国银河,8.72,-0.46,8.84,8.48,1.03,0.17,2.47,1.35,证券,8839689.6361,2.5229,2022-05-17
686,601898,中煤能源,9.65,1.47,7.73,9.63,1.05,0.06,0.52,2.46,煤炭行业,12794610.181,1.3886,2022-05-17
688,601901,方正证券,6.09,0.33,35.54,27.51,1.2,0.45,6.08,3.55,证券,5013349.7496,0.1642,2022-05-17
690,601916,浙商银行,3.29,-0.6,5.31,5.53,0.54,1.94,1.23,0.86,银行,6997401.24,4.8936,2022-05-17
691,601918,新集能源,4.95,1.85,5.19,5.27,1.27,0.03,1.02,3.04,煤炭行业,1282318.191,0.7071,2022-05-17
694,601928,凤凰传媒,7.29,-0.95,8.3,7.55,1.12,0.14,1.42,5.86,文化传媒,1855232.1,5.487,2022-05-17
696,601939,建设银行,5.96,-0.67,4.84,4.93,0.58,0.41,1.77,2.25,银行,149006542.5817,5.4698,2022-05-17
698,601963,重庆银行,7.63,-0.39,5.67,5.68,0.61,1.03,1.89,-2.14,银行,2651047.5737,4.8886,2022-05-17
699,601988,中国银行,3.2,0.31,4.28,4.35,0.48,0.34,1.55,-30.02,银行,94204093.1971,6.1562,2022-05-17
701,601992,金隅集团,2.85,0.0,10.19,10.38,0.64,3.15,0.25,2.38,水泥建材,3043164.7732,2.1053,2022-05-17
703,601997,贵阳银行,6.05,-0.17,3.65,3.66,0.45,1.75,1.47,-1.08,银行,2211999.836,4.9587,2022-05-17
704,601998,中信银行,4.68,0.0,3.99,4.12,0.44,0.28,1.11,-15.78,银行,22901506.8315,5.4271,2022-05-17
722,603225,新凤鸣,10.17,-3.97,7.62,6.9,0.95,0.03,0.35,9.05,化纤行业,1555469.8988,1.1672,2022-05-17
